month,hour,co2_eq_kg_per_MWh
5,0,379.23116938415893
5,1,380.6570233264361
5,2,376.58569279733604
5,3,354.96059991782505
5,4,335.8942600823896
5,5,320.95069285039875
5,6,310.38544627373034
5,7,307.42991090568944
5,8,303.4784369971364
5,9,302.50944737280906
5,10,306.2103502634186
5,11,315.52213556096905
5,12,324.39262404388927
5,13,338.58031858499385
5,14,366.07815164045303
5,15,379.94725105814763
5,16,375.87035838328785
5,17,371.53167780070095
5,18,373.19973835220526
5,19,376.0569260458199
5,20,379.3887133321049
5,21,384.7995517903391
5,22,385.7485807790635
5,23,386.5720165677532
6,0,418.89221869855265
6,1,417.6793660717349
6,2,412.2459182709682
6,3,386.27301833968494
6,4,364.3449201920334
6,5,345.673721775837
6,6,324.3310849852625
6,7,320.5781351203058
6,8,321.8551852486881
6,9,322.89353301700976
6,10,324.34787461192974
6,11,333.2750114066765
6,12,336.9408652605636
6,13,353.382697450974
6,14,384.3332258179178
6,15,400.663518424797
6,16,404.12385413799046
6,17,410.25298520681173
6,18,417.7642433539003
6,19,421.31732743202485
6,20,424.05245924426134
6,21,423.79915398009047
6,22,422.77061916367563
6,23,416.35567760739815
7,0,539.3704330006552
7,1,536.4375427873942
7,2,525.6233925807717
7,3,499.91541149172366
7,4,476.90098182343604
7,5,454.98085771799555
7,6,435.7282048983446
7,7,428.03259162810207
7,8,425.64065884473496
7,9,424.72836783429005
7,10,425.8424454266164
7,11,426.7597133352522
7,12,434.7637540287167
7,13,455.26484612370945
7,14,494.99888486605283
7,15,522.8906938986626
7,16,537.7443196105539
7,17,547.7392463440133
7,18,551.0318089245159
7,19,551.2324610416033
7,20,549.8300017861383
7,21,548.3719358571899
7,22,546.2133178318724
7,23,543.2383874661705
8,0,557.9215592439308
8,1,557.8286267794703
8,2,545.8938087357313
8,3,523.6330323499571
8,4,505.8812432095346
8,5,488.4881518093024
8,6,470.71846444834216
8,7,462.9235002595305
8,8,458.6260982489554
8,9,457.1213165884
8,10,459.5292081326249
8,11,469.32673631944806
8,12,484.74738212505514
8,13,498.8288402798203
8,14,527.9023114891277
8,15,556.2731178095783
8,16,563.3369588975985
8,17,562.9135543112528
8,18,563.709431485088
8,19,564.9521281653002
8,20,564.0742100245855
8,21,561.7989839031137
8,22,558.6689782714301
8,23,556.2102983402611
9,0,501.7439378999099
9,1,489.9625939454745
9,2,457.2745280497468
9,3,422.4846610951597
9,4,395.9923960204818
9,5,375.2533252058222
9,6,359.59797712930964
9,7,354.87543120540187
9,8,356.33153629118567
9,9,364.2954621539778
9,10,372.3417949391267
9,11,383.5675578912589
9,12,392.7018471169811
9,13,403.90211869473404
9,14,421.3663429893638
9,15,460.3875031275206
9,16,480.8268044484977
9,17,487.4091506905151
9,18,495.715422568051
9,19,502.67132774809335
9,20,503.96801165940644
9,21,501.6361316221397
9,22,499.0506754452451
9,23,498.31759052546187
10,0,376.47676241639573
10,1,368.4958664414215
10,2,349.31216961588837
10,3,331.93331940981597
10,4,322.2646037275387
10,5,312.61099474339903
10,6,305.87113023857285
10,7,301.3815846217708
10,8,302.28098942970377
10,9,304.9111719457344
10,10,306.5480712780603
10,11,311.6451996041945
10,12,320.0483095576135
10,13,330.5758868220853
10,14,339.4662189954603
10,15,366.6233623542075
10,16,383.1941867375502
10,17,384.0517379711211
10,18,384.3750064209251
10,19,383.24529444281865
10,20,380.53613282657926
10,21,375.7957663972353
10,22,373.1383693873385
10,23,374.14948493249483
11,0,399.0831273317368
11,1,377.4683399942596
11,2,355.53220006686854
11,3,345.0900083480485
11,4,340.23754450621266
11,5,337.80532504517544
11,6,335.66438810236224
11,7,335.6875196298221
11,8,334.1283176431396
11,9,339.0584408162889
11,10,343.0227562620901
11,11,347.8247261934757
11,12,353.51027018518454
11,13,359.92953370377893
11,14,367.01504987679954
11,15,376.3158264509373
11,16,405.5178245164741
11,17,417.6918626108415
11,18,415.2918433721025
11,19,408.03806555094417
11,20,399.5170711766617
11,21,388.2723984588212
11,22,385.18639785653073
11,23,392.0504522564877
12,0,383.0197236310034
12,1,369.0416367303436
12,2,351.8567019782022
12,3,340.7188092185995
12,4,335.4090800860547
12,5,332.0214991580752
12,6,326.98427720782405
12,7,308.18579720680293
12,8,306.5643845726786
12,9,310.52729775959364
12,10,311.9070885417486
12,11,316.1479514179666
12,12,322.81804184406496
12,13,326.4182004321787
12,14,337.24472801816916
12,15,342.79415729929514
12,16,357.4460429763228
12,17,375.22053392658574
12,18,383.801459484764
12,19,385.1348626560063
12,20,381.6934273459094
12,21,380.2943197552246
12,22,379.7590481060967
12,23,384.67642294698106
