year,month,hour,isorto,co2_eq_kg_per_MWh
2023,2,16,CAISO,448.7315492
2023,2,16,ERCOT,474.1484637
2023,2,16,ISONE,352.1485912
2023,2,16,MISO,595.0058792
2023,2,16,NYISO,380.3254629
2023,2,16,PJM,444.2984191
2023,2,16,SPP,725.8197055
2023,2,17,CAISO,341.533259
2023,2,17,ERCOT,505.0428561
2023,2,17,ISONE,335.4166263
2023,2,17,MISO,631.4362048
2023,2,17,NYISO,521.6535506
2023,2,17,PJM,423.4815516
2023,2,17,SPP,613.8677055
2023,2,18,CAISO,371.4444961
2023,2,18,ERCOT,423.2287928
2023,2,18,ISONE,382.9383685
2023,2,18,MISO,629.9087262
2023,2,18,NYISO,420.8029328
2023,2,18,PJM,472.6695272
2023,2,18,SPP,667.13207
2023,2,19,CAISO,302.6787325
2023,2,19,ERCOT,439.2685251
2023,2,19,ISONE,454.4655569
2023,2,19,MISO,569.8217132
2023,2,19,NYISO,424.8407033
2023,2,19,PJM,387.5867729
2023,2,19,SPP,624.2142367
2023,2,20,CAISO,372.5460906
2023,2,20,ERCOT,484.9781368
2023,2,20,ISONE,453.8214622
2023,2,20,MISO,605.2809181
2023,2,20,NYISO,420.8900902
2023,2,20,PJM,421.3339384
2023,2,20,SPP,635.2497962
2023,2,21,CAISO,379.2721092
2023,2,21,ERCOT,528.6150045
2023,2,21,ISONE,399.4288005
2023,2,21,MISO,587.5690946
2023,2,21,NYISO,382.3929809
2023,2,21,PJM,419.1195275
2023,2,21,SPP,597.3057002
2023,2,22,CAISO,401.1460522
2023,2,22,ERCOT,438.9261853
2023,2,22,ISONE,449.9103079
2023,2,22,MISO,748.5122298
2023,2,22,NYISO,340.5382225
2023,2,22,PJM,456.1302148
2023,2,22,SPP,613.8714637
2023,2,23,CAISO,429.8613156
2023,2,23,ERCOT,399.7505137
2023,2,23,ISONE,442.3375993
2023,2,23,MISO,695.1474899
2023,2,23,NYISO,504.4341669
2023,2,23,PJM,480.2212866
2023,2,23,SPP,599.3014306
2023,3,0,CAISO,301.5688931
2023,3,0,ERCOT,545.1241767
2023,3,0,ISONE,367.2504735
2023,3,0,MISO,737.1826396
2023,3,0,NYISO,484.9633619
2023,3,0,PJM,594.3503496
2023,3,0,SPP,637.9914255
2023,3,1,CAISO,328.6858899
2023,3,1,ERCOT,608.3036883
2023,3,1,ISONE,430.0025156
2023,3,1,MISO,738.4584062
2023,3,1,NYISO,437.9989253
2023,3,1,PJM,640.4941178
2023,3,1,SPP,659.9833298
2023,3,2,CAISO,332.4057164
2023,3,2,ERCOT,519.5683482
2023,3,2,ISONE,485.3923232
2023,3,2,MISO,710.2315083
2023,3,2,NYISO,422.6411417
2023,3,2,PJM,585.1636392
2023,3,2,SPP,633.9831284
2023,3,3,CAISO,455.2280694
2023,3,3,ERCOT,462.0666217
2023,3,3,ISONE,336.3647932
2023,3,3,MISO,640.18197
2023,3,3,NYISO,440.6300813
2023,3,3,PJM,577.8744368
2023,3,3,SPP,599.6004031
2023,3,4,CAISO,389.1978873
2023,3,4,ERCOT,489.8932777
